posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
36,nada + e5_tfidf_taxonomia + medidas_graphrag,nada,e5_tfidf_taxonomia,medidas_graphrag,1375,0.635,0.4982,0.7324,0.8182,0.8982,0.4982,0.75
37,basico + e5_tfidf_kg + medidas_graphrag_idf,basico,e5_tfidf_kg,medidas_graphrag_idf,1375,0.6493,0.528,0.7316,0.8095,0.8822,0.528,0.69
38,basico + e5_tfidf + medidas_graphrag_idf_taxonomia,basico,e5_tfidf,medidas_graphrag_idf_taxonomia,1375,0.6349,0.5033,0.7309,0.8124,0.8873,0.5033,1.39
39,nada + e5_tfidf_taxonomia + medidas,nada,e5_tfidf_taxonomia,medidas,1375,0.6295,0.4887,0.7295,0.824,0.8989,0.4887,0.65
40,basico + e5 + medidas_taxonomia,basico,e5,medidas_taxonomia,1375,0.6519,0.5411,0.7295,0.7949,0.864,0.5411,0.23
41,nada + e5_taxonomia + medidas,nada,e5_taxonomia,medidas,1375,0.6555,0.5462,0.7287,0.7993,0.8596,0.5462,0.17
42,nada + e5_tfidf_kg + medidas,nada,e5_tfidf_kg,medidas,1375,0.6415,0.5215,0.728,0.8095,0.8749,0.5215,0.55
43,nada + e5_taxonomia + medidas_graphrag_idf_taxonomia,nada,e5_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6614,0.5578,0.728,0.7985,0.848,0.5578,0.23
44,basico + e5 + graphrag_idf,basico,e5,graphrag_idf,1375,0.6432,0.5265,0.7273,0.8,0.8669,0.5265,0.26
45,nada + e5 + taxonomia,nada,e5,taxonomia,1375,0.6573,0.5462,0.7258,0.7978,0.8735,0.5462,2.82
46,basico + e5 + taxonomia_rotulo,basico,e5,taxonomia_rotulo,1375,0.6609,0.5578,0.7258,0.7956,0.8575,0.5578,0.23
47,basico + e5_taxonomia + medidas_graphrag_idf_taxonomia,basico,e5_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6421,0.5367,0.7236,0.7891,0.8356,0.5367,0.29
48,nada + e5 + graphrag_idf,nada,e5,graphrag_idf,1375,0.6442,0.5222,0.7215,0.7985,0.8771,0.5222,0.21
