,e5,e5_tfidf,e5_kg,e5_tfidf_kg,e5_taxonomia,e5_tfidf_taxonomia
nada,0.7404,0.7462,0.6756,0.72,0.7207,0.7389
basico,0.7425,0.7884,0.6742,0.7498,0.7084,0.7665
