pos,peso_medidas,peso_rel_taxonomia,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
taxonomia,0.03,1.0,1375,0.6656,0.5578,0.7396,0.8036,0.8662,0.5578,2.7
medidas_taxonomia,0.03,1.0,1375,0.6768,0.5687,0.7629,0.8182,0.872,0.5687,2.8
medidas_graphrag_idf,0.03,1.0,1375,0.707,0.6058,0.7913,0.8407,0.8851,0.6058,3.0
medidas_graphrag_idf_taxonomia,0.03,1.0,1375,0.7109,0.6124,0.792,0.8385,0.8793,0.6124,3.1
medidas,0.05,0.3,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,0.1
graphrag_idf_aditivo,0.05,0.3,1375,0.6924,0.5913,0.7687,0.8298,0.88,0.5913,0.2
taxonomia,0.05,0.3,1375,0.6741,0.5687,0.7498,0.8145,0.8691,0.5687,2.7
medidas_taxonomia,0.05,0.3,1375,0.6623,0.5513,0.7433,0.8167,0.8749,0.5513,2.8
medidas_graphrag_idf,0.05,0.3,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,2.9
medidas_graphrag_idf_taxonomia,0.05,0.3,1375,0.693,0.5884,0.7811,0.8429,0.8836,0.5884,3.1
medidas,0.05,0.6,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,0.1
graphrag_idf_aditivo,0.05,0.6,1375,0.6924,0.5913,0.7687,0.8298,0.88,0.5913,0.2
taxonomia,0.05,0.6,1375,0.6656,0.5578,0.7396,0.8036,0.8662,0.5578,2.8
medidas_taxonomia,0.05,0.6,1375,0.6596,0.5476,0.7404,0.8102,0.8727,0.5476,2.8
medidas_graphrag_idf,0.05,0.6,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,3.0
medidas_graphrag_idf_taxonomia,0.05,0.6,1375,0.6936,0.5884,0.7833,0.8422,0.8793,0.5884,3.1
medidas,0.05,1.0,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,0.1
graphrag_idf_aditivo,0.05,1.0,1375,0.6924,0.5913,0.7687,0.8298,0.88,0.5913,0.2
taxonomia,0.05,1.0,1375,0.6457,0.5367,0.7171,0.7847,0.8524,0.5367,3.0
medidas_taxonomia,0.05,1.0,1375,0.6512,0.5389,0.7295,0.8007,0.8655,0.5389,3.1
medidas_graphrag_idf,0.05,1.0,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,3.3
medidas_graphrag_idf_taxonomia,0.05,1.0,1375,0.6898,0.5855,0.7782,0.8356,0.8771,0.5855,3.4
