pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,1375,0.7396,0.6385,0.8124,0.8647,0.9164,0.6385,6.6
medidas,1375,0.7353,0.6349,0.8007,0.8655,0.9164,0.6349,10.3
medidas_graphrag_idf,1375,0.7502,0.6538,0.8262,0.8785,0.92,0.6538,14.2
combinado_calibrado,1375,0.7533,0.6582,0.8262,0.8807,0.9207,0.6582,18.4
