pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,1375,0.7396,0.6385,0.8124,0.8647,0.9164,0.6385,6.8
medidas,1375,0.7298,0.6284,0.7971,0.8582,0.9127,0.6284,8.1
medidas_graphrag_idf,1375,0.7449,0.6495,0.8182,0.872,0.9171,0.6495,12.0
combinado_calibrado,1375,0.7493,0.6545,0.8204,0.8771,0.9164,0.6545,16.5
