posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
40,rede_semantica + tfidf + nada,rede_semantica,tfidf,nada,1012,0.4613,0.332,0.5425,0.6344,0.7688,0.332,0.26
41,nada + tfidf + unidades_graphrag,nada,tfidf,unidades_graphrag,1012,0.4583,0.3478,0.5296,0.6077,0.6996,0.3478,0.44
42,nada + e5_cross + graphrag,nada,e5_cross,graphrag,1012,0.4559,0.3419,0.4773,0.5484,0.8182,0.3419,0.06
43,rede_semantica + fuzzy + graphrag,rede_semantica,fuzzy,graphrag,1012,0.4551,0.3478,0.5316,0.6067,0.6868,0.3478,5.03
44,graphrag + e5 + graphrag,graphrag,e5,graphrag,1012,0.4541,0.3379,0.5168,0.6087,0.7441,0.3379,0.11
45,graphrag_leve + fuzzy + unidades,graphrag_leve,fuzzy,unidades,1012,0.4538,0.3449,0.5237,0.5899,0.6887,0.3449,4.87
46,nada + tfidf + unidades,nada,tfidf,unidades,1012,0.4524,0.3439,0.5188,0.5968,0.6996,0.3439,0.41
47,basico + fuzzy + pdm,basico,fuzzy,pdm,1012,0.4516,0.3399,0.5178,0.6067,0.7154,0.3399,4.47
48,graphrag + tfidf + unidades,graphrag,tfidf,unidades,1012,0.4514,0.3271,0.5287,0.6186,0.7292,0.3271,0.32
49,graphrag + tfidf + unidades_graphrag,graphrag,tfidf,unidades_graphrag,1012,0.4512,0.331,0.5198,0.6107,0.7292,0.331,0.36
50,rede_semantica + fuzzy + unidades,rede_semantica,fuzzy,unidades,1012,0.4509,0.3528,0.5089,0.5791,0.6868,0.3528,5.07
51,basico + e5_cross + unidades_graphrag,basico,e5_cross,unidades_graphrag,1012,0.4494,0.333,0.4644,0.5306,0.8172,0.333,0.08
52,nada + e5_cross + pdm,nada,e5_cross,pdm,1012,0.448,0.3241,0.4872,0.5761,0.8182,0.3241,0.13
53,rede_semantica + tfidf + pdm,rede_semantica,tfidf,pdm,1012,0.4476,0.3132,0.5306,0.6285,0.7688,0.3132,0.36
54,basico + e5_cross + unidades,basico,e5_cross,unidades,1012,0.4458,0.3281,0.4625,0.5178,0.8172,0.3281,0.06
55,basico + fuzzy + nada,basico,fuzzy,nada,1012,0.4451,0.3281,0.5148,0.6038,0.7154,0.3281,4.38
56,graphrag_leve + tfidf + graphrag,graphrag_leve,tfidf,graphrag,1012,0.4417,0.3172,0.5119,0.6047,0.751,0.3172,0.35
57,graphrag_leve + e5 + pdm,graphrag_leve,e5,pdm,1012,0.4405,0.3152,0.502,0.6107,0.7569,0.3152,0.17
58,graphrag_leve + fuzzy + graphrag,graphrag_leve,fuzzy,graphrag,1012,0.4393,0.33,0.5069,0.586,0.6887,0.33,4.83
59,graphrag_leve + tfidf + nada,graphrag_leve,tfidf,nada,1012,0.4392,0.3043,0.5237,0.6176,0.751,0.3043,0.31
60,rede_semantica + e5_cross + unidades_graphrag,rede_semantica,e5_cross,unidades_graphrag,1012,0.4391,0.331,0.4536,0.5168,0.7846,0.331,0.1
61,nada + e5_cross + nada,nada,e5_cross,nada,1012,0.4385,0.3231,0.4526,0.5208,0.8182,0.3231,0.04
62,graphrag + fuzzy + unidades_graphrag,graphrag,fuzzy,unidades_graphrag,1012,0.4332,0.3389,0.498,0.5514,0.6472,0.3389,4.96
63,graphrag + fuzzy + unidades,graphrag,fuzzy,unidades,1012,0.4297,0.337,0.4862,0.5514,0.6472,0.337,4.95
64,basico + e5_cross + graphrag,basico,e5_cross,graphrag,1012,0.4287,0.3123,0.4417,0.5109,0.8172,0.3123,0.05
65,rede_semantica + e5_cross + unidades,rede_semantica,e5_cross,unidades,1012,0.4279,0.3142,0.4466,0.5059,0.7846,0.3142,0.07
66,rede_semantica + fuzzy + pdm,rede_semantica,fuzzy,pdm,1012,0.4259,0.3221,0.4822,0.5721,0.6868,0.3221,5.1
67,graphrag_leve + e5_cross + unidades_graphrag,graphrag_leve,e5_cross,unidades_graphrag,1012,0.4252,0.3172,0.4447,0.5138,0.7569,0.3172,0.11
68,graphrag + tfidf + nada,graphrag,tfidf,nada,1012,0.4231,0.2945,0.497,0.5909,0.7292,0.2945,0.29
69,nada + tfidf + graphrag,nada,tfidf,graphrag,1012,0.4204,0.3014,0.4921,0.5771,0.6996,0.3014,1.57
70,nada + tfidf + nada,nada,tfidf,nada,1012,0.4193,0.2984,0.496,0.5771,0.6996,0.2984,0.37
71,basico + e5_cross + pdm,basico,e5_cross,pdm,1012,0.4186,0.2885,0.4457,0.5563,0.8172,0.2885,0.1
72,graphrag_leve + fuzzy + nada,graphrag_leve,fuzzy,nada,1012,0.4182,0.2984,0.4901,0.5751,0.6887,0.2984,4.81
73,graphrag_leve + e5_cross + unidades,graphrag_leve,e5_cross,unidades,1012,0.418,0.3073,0.4427,0.497,0.7569,0.3073,0.11
74,graphrag + tfidf + graphrag,graphrag,tfidf,graphrag,1012,0.4173,0.2955,0.4773,0.5741,0.7292,0.2955,0.32
75,rede_semantica + e5_cross + graphrag,rede_semantica,e5_cross,graphrag,1012,0.4148,0.3043,0.4249,0.504,0.7846,0.3043,0.06
76,graphrag + e5_cross + unidades_graphrag,graphrag,e5_cross,unidades_graphrag,1012,0.4146,0.3034,0.4466,0.5069,0.7441,0.3034,0.11
77,graphrag_leve + fuzzy + pdm,graphrag_leve,fuzzy,pdm,1012,0.4131,0.3014,0.4713,0.5573,0.6887,0.3014,4.91
78,graphrag + e5 + pdm,graphrag,e5,pdm,1012,0.4114,0.2905,0.4634,0.5711,0.7441,0.2905,0.18
79,basico + e5_cross + nada,basico,e5_cross,nada,1012,0.4112,0.2945,0.414,0.4713,0.8172,0.2945,0.03
80,rede_semantica + e5_cross + pdm,rede_semantica,e5_cross,pdm,1012,0.4099,0.2836,0.4437,0.5524,0.7846,0.2836,0.12
