posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
39,nada + e5_tfidf_lin + graphrag_idf_aditivo,nada,e5_tfidf_lin,graphrag_idf_aditivo,1375,0.7198,0.6182,0.7985,0.8582,0.9011,0.6182,0.18
40,basico + e5 + combinado_calibrado,basico,e5,combinado_calibrado,1375,0.7143,0.6153,0.7978,0.8487,0.8851,0.6153,0.29
41,nada + e5 + combinado_calibrado,nada,e5,combinado_calibrado,1375,0.7211,0.6225,0.7942,0.8538,0.8967,0.6225,0.29
42,nada + e5_tfidf_lin + nada,nada,e5_tfidf_lin,nada,1375,0.7217,0.6225,0.7935,0.8538,0.9025,0.6225,0.09
43,basico + e5 + medidas_graphrag_idf,basico,e5,medidas_graphrag_idf,1375,0.7044,0.6015,0.7891,0.8415,0.8865,0.6015,0.28
44,basico + e5_tfidf + nada,basico,e5_tfidf,nada,1375,0.7097,0.6022,0.7884,0.8502,0.9105,0.6022,0.8
45,nada + e5_tfidf_lin + taxonomia,nada,e5_tfidf_lin,taxonomia,1375,0.7105,0.608,0.7869,0.8487,0.8996,0.608,0.09
46,nada + e5 + medidas_graphrag_idf,nada,e5,medidas_graphrag_idf,1375,0.7092,0.608,0.7804,0.8465,0.9004,0.608,0.29
47,basico + e5 + medidas_graphrag,basico,e5,medidas_graphrag,1375,0.6924,0.5847,0.7796,0.8385,0.8851,0.5847,0.25
48,nada + e5_tfidf_lin + medidas,nada,e5_tfidf_lin,medidas,1375,0.7075,0.6044,0.7775,0.8545,0.9055,0.6044,0.16
49,nada + e5 + graphrag_idf_aditivo,nada,e5,graphrag_idf_aditivo,1375,0.7,0.5956,0.7731,0.8393,0.8909,0.5956,2.76
50,nada + e5 + medidas_graphrag,nada,e5,medidas_graphrag,1375,0.7006,0.5971,0.7731,0.8385,0.8967,0.5971,0.32
51,basico + e5 + graphrag_idf_aditivo,basico,e5,graphrag_idf_aditivo,1375,0.6924,0.5913,0.7687,0.8298,0.88,0.5913,0.22
52,basico + e5_tfidf + medidas_graphrag,basico,e5_tfidf,medidas_graphrag,1375,0.6743,0.5549,0.7629,0.8335,0.9069,0.5549,0.96
53,basico + e5_tfidf + combinado_calibrado,basico,e5_tfidf,combinado_calibrado,1375,0.6777,0.56,0.7622,0.8415,0.9011,0.56,0.95
54,basico + e5_tfidf + medidas_graphrag_idf,basico,e5_tfidf,medidas_graphrag_idf,1375,0.673,0.552,0.7593,0.84,0.9091,0.552,0.97
55,nada + e5_tfidf + combinado_calibrado,nada,e5_tfidf,combinado_calibrado,1375,0.6632,0.5411,0.7505,0.8298,0.8909,0.5411,1.19
56,basico + e5_tfidf + medidas,basico,e5_tfidf,medidas,1375,0.666,0.544,0.7476,0.8284,0.9069,0.544,0.87
57,nada + e5_tfidf + nada,nada,e5_tfidf,nada,1375,0.6744,0.5629,0.7462,0.8218,0.8887,0.5629,1.06
58,basico + e5_tfidf + graphrag_idf_aditivo,basico,e5_tfidf,graphrag_idf_aditivo,1375,0.6505,0.5229,0.7433,0.8255,0.8982,0.5229,0.9
