,e5,e5_tfidf,e5_tfidf_lin,e5_char_lin,e5_tfidf_char_lin
nada,0.7404,0.7462,0.7935,0.8109,0.8124
basico,0.7425,0.7884,0.8087,0.8065,0.8189
