pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,1012,0.6405,0.5168,0.7213,0.7964,0.8794,0.5168,3.5
medidas,1012,0.6717,0.5504,0.7628,0.8172,0.8933,0.5504,5.4
medidas_graphrag,1012,0.6829,0.5672,0.7698,0.8182,0.8982,0.5672,9.1
medidas_graphrag_idf,1012,0.6827,0.5692,0.7668,0.8182,0.8972,0.5692,9.3
combinado_calibrado,1012,0.6783,0.5583,0.7668,0.8211,0.8992,0.5583,10.2
