pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,s
nada,1012,0.5393,0.4101,0.6067,0.7105,0.8172,0.4101,0.1
medidas,1012,0.5859,0.4625,0.6532,0.749,0.831,0.4625,2.1
medidas_graphrag,1012,0.6066,0.4862,0.6808,0.7599,0.831,0.4862,5.9
medidas_graphrag_idf,1012,0.614,0.496,0.6848,0.7579,0.837,0.496,6.1
combinado_calibrado,1012,0.6084,0.4911,0.6769,0.7609,0.837,0.4911,7.0
